target,feed_ethanol_x,reflux_ratio
distillate_ethanol_x,0.00271677124065463,0.9972832287593454
bottoms_water_massfrac,0.998858626959893,0.0011413730401070566
condenser_duty_kW,0.7246310287324104,0.27536897126758964
reboiler_duty_kW,0.7173621969998231,0.28263780300017693
